Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,94.910004,95.279999,92.849998,93.750000,87.376266,5865400
2015-01-05,93.279999,93.349998,91.779999,92.379997,86.099403,7789400
2015-01-06,92.570000,93.190002,91.160004,91.889999,85.642723,6793100
2015-01-07,92.720001,93.150002,92.099998,92.830002,86.518799,6589500
2015-01-08,93.870003,94.300003,93.559998,93.790001,87.413528,7579400
2015-01-09,94.050003,95.269997,93.989998,94.250000,87.842270,8621300
2015-01-12,94.690002,94.760002,93.769997,94.459999,88.037987,6586200
2015-01-13,95.279999,96.430000,94.699997,95.190002,88.718346,9364300
2015-01-14,94.000000,94.800003,93.290001,94.230003,87.823624,6509300
2015-01-15,94.610001,94.959999,94.040001,94.349998,87.935478,5662200
2015-01-16,94.000000,95.230003,93.980003,95.180000,88.709045,6117000
2015-01-20,95.220001,95.389999,93.750000,94.739998,88.298950,7940600
2015-01-21,94.370003,94.739998,93.820000,94.169998,87.767700,7474700
2015-01-22,94.580002,95.389999,94.010002,95.150002,88.681061,7014200
2015-01-23,94.919998,95.529999,94.430000,94.720001,88.280304,4664700
2015-01-26,94.449997,95.000000,93.930000,94.970001,88.513313,5446900
2015-01-27,93.940002,94.739998,93.360001,93.970001,87.581314,5390000
2015-01-28,94.139999,94.470001,92.610001,92.669998,86.369698,6198400
2015-01-29,93.110001,93.500000,91.519997,93.220001,86.882286,7681700
2015-01-30,92.500000,92.940002,90.830002,90.959999,84.775940,10212300
2015-02-02,91.300003,92.050003,90.059998,91.930000,85.679993,9392000
2015-02-03,92.430000,94.110001,92.190002,94.099998,87.702469,12329100
2015-02-04,99.389999,101.940002,98.820000,101.279999,94.394318,32640500
2015-02-05,100.760002,102.839996,100.510002,102.639999,95.661858,14089500
2015-02-06,102.669998,102.989998,101.650002,102.019997,95.084000,8535200
2015-02-09,101.800003,102.500000,101.449997,101.730003,94.813736,5461800
2015-02-10,101.959999,102.190002,101.180000,101.919998,94.990807,5726300
